ID: 1 | Name: MEJA 1 (DELETED-1774130443684) | Pin: 0 | Light: false | Status: available
ID: 2 | Name: MEJA 2 | Pin: 1 | Light: false | Status: available
ID: 3 | Name: MEJA 3 | Pin: 2 | Light: true | Status: in_use
ID: 4 | Name: MEJA 4 (DELETED-1774131217012) | Pin: 3 | Light: false | Status: available
ID: 5 | Name: MEJA 5 | Pin: 4 | Light: false | Status: available
ID: 6 | Name: MEJA 6 | Pin: 5 | Light: false | Status: available
ID: 11 | Name: MEJA 7 | Pin: 6 | Light: false | Status: waiting_payment
ID: 12 | Name: MEJA 1 (DELETED-1774130968213) | Pin: 0 | Light: false | Status: available
ID: 13 | Name: MEJA 1 | Pin: 0 | Light: false | Status: waiting_payment
ID: 14 | Name: MEJA 4 | Pin: 3 | Light: false | Status: available
